key,description,text,is-markdown
meta.title,The main title of the page,Manchester City | Pose with the Pros,
meta.author,"Meta data indicating the ""author"" of the website",Manchester City | Pose with the Pros,
meta.description,Description of the website,Pose with the Pros,
meta.keywords,Keyword seperated by commas,"manchester city, football",
meta.og.site_name,"Site name displayed when sharing via Open Graph (Facebook, Teams, Slack, Whatsapp, ‚Ä¶)",Manchester City | Pose with the Pros,
meta.og.title,Title displayed when sharing via Open Graph,Manchester City | Pose with the Pros,
meta.og.description,Description when sharing via Open Graph,Pose with the Pros,
meta.twitter.title,Title when sharing via Twitter,Manchester City | Pose with the Pros,
meta.twitter.description,Description when sharing via Twitter,Pose with the Pros,
form.CRM.email,Email input label,Email,
form.CRM.CTA,CRM form submit button,Submit,
download.title,Download page title,Thanks for participating in the Pose with The Pros experience,
download.subtitle,Download page subtitle,HERE'S YOUR PHOTO,
download.imgcaption,Download page image alt text,Your pose with the pros,
download.CTA,Download page CTA button,DOWNLOAD,
desktop.title,Desktop error screen title,This site is not supported on desktop devices,
desktop.subtitle,Desktop error screen subtitle,Please use a mobile device to claim your download,
terms.title,Terms page title,TERMS OF USE,
terms.read,"""I have read the Terms and Conditions"" message",Read the Terms of Use of the site *here*,
terms.legals,Terms and conditions legal text,"By agreeing to this experience you accept our <a href=""https://www.mancity.com/privacy-policy"" rel=""noreferrer"" target=""_blank"">Privacy Policy</a>.",
terms.copy,Terms accept message,"I have read the above rules carefully, I fully understand this content, and voluntarily agree to it’s terms",
terms.CTA,Terms back button,"Yes, I accept",
terms.use-title,Terms of use page title,TERMS OF USE,
